token,corrected,verdict,evidence
clletram,cletram,confirmed,"аппарат/vocab6 (§18): дитто-графия OCR; cletram — формульное слово LL"
ceus,celi,confirmed,"аппарат+vocab7 (§18): VII 8 контекст celi; ceus не аттестован"
negunsl,nethunsl,confirmed,"аппарат IX 7: «xxϑunsl) neϑunsl Kr., Torp»; g=OCR-θ"
nungen,nunthen,confirmed,"аппарат IX 8 + vocab7; g=OCR-θ"
rache,rachth,confirmed,"аппарат IX 16 + vocab11 (raχθ формульное)"
nuntheno,nunthenth,confirmed,"аппарат IX 17 + vocab9; конечное o=OCR-θ"
largal,larthal,confirmed,"TCap 83.1: g=OCR-θ; larθal vocab23"
suo,suth,confirmed,"F&W 94.188 + Herbig: suθ (sample50 #9); o=OCR-θ"
egrse,ethrse,confirmed,"94.933: g=OCR-θ; eθrse формульное + herbig-index"
muera,nuera,confirmed,"Textus Herbig III 20-21: «esis esera nuera xrse» — m/n OCR F&W"
luzlchnec,nuzlchne,confirmed,"Textus Herbig IV 18: «fler ϑezine-ruze-nuzlχne - zati-zatlχne»"
reuchzua,renchzua,confirmed,"Index verborum: «renχzua VII 9» (явная статья)"
cilfcveti,cilthcveti,confirmed,"Textus Herbig VII 14: «etnam-cilϑcve ti-hilare» (разрыв печати); index cilϑcveti VII 14"
fanufie,fanuse,confirmed,"Index verborum: «fanuse X 23» (явная статья)"
huslne,zusle,rejected,"Textus Herbig III 20: «nacxxxcia huslne· vinum» — F&W ВЕРЕН; zusle — другой локус (II 11)"
usli,usti,rejected,"Textus Herbig VII 13: «ϑacac-usli neχse» — лемма Herbig usli; usti — чтение Krall в аппарате"
capen,pen,rejected,"capen — класс cepen (both-attested); 'pen' в индексе — огрызок"
veisna,yeisna,rejected,"аппарат X 22: «yeisna ] yeisna in t.» — y не этрусская буква, OCR аппарата; F&W veisna согласуется"
sacnit,sacnicn,candidate,"Textus OCR «trinϑasa-sacnitn» — t/c неразличимы, нужна фототаблица"
sacnics,sacnicn,candidate,"IX 9: sacnicstres рядом; чтение неразрешимо по OCR"
vuvcnics,vuvenies,candidate,"index «vuvenies X 19», Textus не пойман; c/e двусмысленно"
rionai,rithnai,candidate,"TCap: правило алфавита (o=OCR-θ) + словарь, но второго свидетеля нет"
