position,kind,key,classes,text
1,exact,94.1,—,em
44,exact,92.44,VACL VERB-R,thezi vacl an in
45,exact,92.45,VACL VERB-R,cletram srenchve in scanin cealch vacl
46,exact,92.46,VERB-R,ara nunthene sasas nachve hetum ale
47,exact,92.47,OFFER THEO VERB-R,vinum usi trinum flere in crapst
48,exact,92.48,—,un mlach nunsen thaclthi thachthiv cialchus
49,exact,92.49,OFFER,huslne vinum esis esera muera cuse
50,exact,92.50,OFFER,fasei spurestres enas ethrse ns
51,exact,92.51,CAL,tiurim avils chis cisum pute tul thans
52,exact,92.52,—,hantec repinec spureri meslumeri
55,exact,92.55,—,fr
56,exact,92.56,CAL THEO,ethrse tinsi tiurim avils chis ecn zer
57,exact,92.57,OFFER,inc zec fler sezince cisum pute tu sans
58,exact,92.58,—,hatec repinec meleri sveleric svec
59,exact,92.59,VERB-R,cs mele sun mutince thezine ruze
60,exact,92.60,—,nuzlchne spureri methlumeric enas
61,exact,92.61,OFFER,tei fasei zarfnef zusleves nunsen
62,exact,92.62,THEO,farfan flleres in crapst cletram
63,exact,92.63,OFFER VERB-R,srenchve rachth tura hechsth vinum
64,exact,92.64,—,nunsen clletram srenchve rachth suth
65,exact,92.65,OFFER,izarfneth zusleves nunsen estrei
66,exact,92.66,—,alazei cletram srencve eim tul
71,exact,92.71,—,meleri sveleric svec an cfi mele sun
72,exact,92.72,—,mutince sezine ruze luzlchnec spurer
73,exact,92.73,OFFER THEO VERB-R,meslumeric enas sin flere in crap ati
74,exact,92.74,THEO VERB-R,chis esvisc fase sin aiser fase si
75,exact,92.75,—,is cemnac faseis rachth sutanas
108,exact,93.108,CONJ,etnam laeti anc thachs
109,exact,93.109,—,theusnua caperc hec nach va tinthsa
110,exact,93.110,CONJ,etnam velthinal etnam aisunal funchers
111,exact,93.111,—,in sacnicla
112,exact,93.112,CAL OFFER THEO VERB-R,zathrumsne lusas fler thezeri
113,exact,93.113,OFFER,laivisca lustres fler vacltnam
114,exact,93.114,VERB-R,thezeri
115,exact,93.115,CONJ THEO,etnam eisna in fleres crapsti
116,exact,93.116,—,thunsna thlns flers
117,exact,93.117,CAL THEO,eslem zafrumis acale tinsin sarve
118,exact,93.118,VERB-R,luthti rach ture acil catica thluth ceithim
119,exact,93.119,VERB-R,chim scuchie acil hupnis painiem
120,exact,93.120,—,anc martith sulal
124,exact,93.124,—,ceia
125,exact,93.125,CONJ VACL VERB-R,ceia hia etnam ciz vacl trin velthre
126,exact,93.126,CONJ VACL,male ceia hia etnam ciz vacl aisval
127,exact,93.127,CONJ VERB-R,male ceia hia trinth etnam ciz ale
128,exact,93.128,CONJ VACL,male ceia hia etnam ciz vacl vile vale
129,exact,93.129,VERB-R,staile itrile hia ciz trinthasa sacnit
130,exact,93.130,—,an cilth cechane sal sucivn firin arth
131,exact,93.131,—,vachr ceus cilthcval svem cepen tutin
132,exact,93.132,CONJ,reuchzua etnam cepen ceren sucic firin
133,exact,93.133,CONJ,tesim etnam celucum caitim caperchva
134,exact,93.134,—,hecia aisna clevanth chim enac usil
135,exact,93.135,—,repine
136,exact,93.136,CONJ,zelvth murss etnam thacac usli nechs
137,exact,93.137,CONJ VERB-R,acil ame etnam cilfcveti hilare cil
138,exact,93.138,CONJ VACL VERB-R,vacl cepen oaurch cerene acil etnam
139,exact,93.139,CONJ VERB-R,ic clevanth sucich iri nvene acil etnam
140,exact,93.140,CONJ VACL VERB-R,tesim etnam celucn vacl ara euml
141,exact,93.141,—,sacnicleri cilthl cepen cilec va cepen
142,exact,93.142,—,cnticnth in ceren cepar nac amce
179,exact,94.179,—,ec
180,exact,94.180,—,repinec sacnicleri cilthl spureri
